City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
BELAGAVI,29011210502,2015-16,KANNADA LOWER PRIMARY SCHOOL KAREMMA NAGAR ,SOUNDATTI,SHINDOGI,YEKKERI,Karnataka,591117,,,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29011210503,2015-16,KANNADA LOWER PRIMARY SCHOOL JANTA COLONY ,SOUNDATTI,SHINDOGI,YEKKERI,Karnataka,591117,,,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29011207602,2015-16,KANNADA LOWER PRIMARY SCHOOL ,SOUNDATTI,SATTIGERI,MELLIKERI,Karnataka,591114,,,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
MYSURU,29260614801,2015-16,"GOVT LOWER PRIMARY SCHOOL, A",KRISHNARAJANAGARA,MAVATHURU,ICHANHALLI,Karnataka,571602,,,,,,ChIJo4G9My7zpTsRoj1afbUHjgs,C,City,mysuru,Government Lower Primary School Vaddarapalya,"Vaddarapalya, H. D. Kote, Mysuru District, Hommaragahalli, Karnataka 571114, India"
MYSURU,29260622703,2015-16,VASAVI VIDYA SAMSTHE HIGHER PRIMARY SCHOOL-WARD-10,KRISHNARAJANAGARA,K.R.NAGARA TOWN,K R NAGARA-WARD-10,Karnataka,571602,,,,,,,,,,,
MYSURU,29260704404,2015-16,GOVERNMENT URDU HIGHER PRIMARY SCHOOL MODAL SUNNI CHOUKA,MYSORE NORTH,NIZAMIYA(URDU),WARD-40,Karnataka,570021,,,,,,ChIJlULPjgVwrzsRth4FbbJjDRU,C,City,mysuru,Government Urdu Girls Higher Primary School,"Chamraja Double Road, Chamraja Double Road, Near Lakshmi Talkies, K.R. Mohalla, Mysuru, Karnataka 570024, India"
MYSURU,29260704606,2015-16,GOVERNMENT HIGHER PRIMARY SCHOOL  N R MOHALLA,MYSORE NORTH,N.R MOHALLA,WARD-42,Karnataka,570001,,,,,,,,,,,
BELAGAVI,29010301705,2015-16,KANNADA LOWER PRIMARY SCHOOL GAJANAN MAHARAJ NAGAR TILAKWADI,BELGAUM CITY,TILAKWADI ( MHPS.9 ),W.NO.17.BGM.CITY.,Karnataka,590006,,,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,B,Pincode,590006,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29010301706,2015-16,AMRITA VIDYALAYA SCHOOL BHAVANI NAGAR,BELGAUM CITY,TILAKWADI ( MHPS.9 ),W.NO.17.BGM.CITY.,Karnataka,590008,,,,,,ChIJvfVAUzdkvzsRs8bubZGqCgY,C,City,belagavi,Amrita Vidyalayam,"71/1, Near Bhavani Nagar, Mandoli Road, Belagavi, Karnataka 590006, India"
BELAGAVI,29010204401,2015-16,K.H.P.S. ,BAILHONGAL,HANABARHATTI,GAJAMANAL,Karnataka,591121,,ChIJB_54Q0JjvzsR4DXkh8s3gNU,,,,,,,,,
BELAGAVI,29010200102,2015-16,GOVT HIGHSCHOOL ,BAILHONGAL,ANIGOL,ANIGOL,Karnataka,591102,,ChIJ_YTMFDxDvzsRI3xyJZPxpEI,,,,,,,,,
TUMAKURU MADHUGIRI,29310401402,2015-16,GOVT LOWER PRIMARY SCHOOL AVEKATTE,MADHUGIRI,CHINAKA VAJRA,K.C.ROPPA,Karnataka,572132,,,,,,,,,,,
TUMAKURU MADHUGIRI,29310427502,2015-16,GOVT KANNADA MODEL HIGHER PRIMARY BOY SCHOOL MADHUGIRI,MADHUGIRI,MADHUGIRI,MADHUGIRI WARD-17,Karnataka,572132,,,,,,,,,,,
MYSURU,29260602001,2015-16,"GOVT HIGHER PRIMARY SCHOOL, ",KRISHNARAJANAGARA,MELURU,MELURU,Karnataka,571604,,,,,,ChIJn_rirg5wrzsRHYvGftWK6pg,C,City,mysuru,Maharani Government Higher Primary School,"Narayana Shastri Road, Narayana Shastri Road, Near Sadvidya College, Devaraj Mohalla, Mysuru, Karnataka 570001, India"
